"id","call_prefix"
base.ad,"+376"
base.ae,"+971"
base.af,"+93"
base.ag,"+1268"
base.ai,"+1264"
base.al,"+355"
base.am,"+374"
base.an,"+599"
base.ao,"+244"
base.aq,"+672"
base.ar,"+54"
base.as,"+685"
base.at,"+43"
base.au,"+61"
base.aw,"+297"
base.az,"+994"
base.ba,"+387"
base.bb,"+1246"
base.bd,"+880"
base.be,"+32"
base.bf,"+226"
base.bg,"+359"
base.bh,"+973"
base.bi,"+257"
base.bj,"+229"
base.bm,"+1441"
base.bn,"+673"
base.bo,"+591"
base.br,"+55"
base.bs,"+1242"
base.bt,"+975"
base.bv,"+47"
base.bw,"+267"
base.by,"+375"
base.bz,"+501"
base.ca,"+1"
base.cc,"+61"
base.cf,"+236"
base.cd,"+243"
base.cg,"+242"
base.ch,"+41"
base.ci,"+225"
base.ck,"+682"
base.cl,"+56"
base.cm,"+237"
base.cn,"+86"
base.co,"+57"
base.cr,"+506"
base.rs,"+381"
base.me,"+382"
base.cu,"+53"
base.cv,"+238"
base.cx,"+61"
base.cy,"+357"
base.cz,"+420"
base.de,"+49"
base.dj,"+253"
base.dk,"+45"
base.dm,"+1767"
base.do,"+1"
base.dz,"+213"
base.ec,"+593"
base.ee,"+372"
base.eg,"+20"
base.eh,"+212"
base.er,"+291"
base.es,"+34"
base.et,"+251"
base.fi,"+358"
base.fj,"+679"
base.fk,"+500"
base.fm,"+691"
base.fo,"+298"
base.fr,"+33"
base.ga,"+241"
base.gd,"+1473"
base.ge,"+995"
base.gf,"+594"
base.gh,"+233"
base.gi,"+350"
base.gl,"+299"
base.gm,"+220"
base.gn,"+224"
base.gp,"+590"
base.gq,"+240"
base.gr,"+30"
base.gs,"+44"
base.gt,"+502"
base.gu,"+1"
base.gw,"+245"
base.gy,"+592"
base.hk,"+852"
base.hm,"+61"
base.hn,"+504"
base.hr,"+385"
base.ht,"+509"
base.hu,"+36"
base.id,"+62"
base.ie,"+353"
base.il,"+972"
base.in,"+91"
base.io,"+246"
base.iq,"+964"
base.ir,"+98"
base.is,"+354"
base.it,"+39"
base.jm,"+1876"
base.jo,"+962"
base.jp,"+81"
base.ke,"+254"
base.kg,"+996"
base.kh,"+855"
base.ki,"+686"
base.km,"+269"
base.kn,"+1869"
base.kp,"+850"
base.kr,"+82"
base.kw,"+965"
base.ky,"+1345"
base.kz,"+7"
base.la,"+856"
base.lb,"+961"
base.lc,"+1758"
base.li,"+423"
base.lk,"+94"
base.lr,"+231"
base.ls,"+266"
base.lt,"+370"
base.lu,"+352"
base.lv,"+371"
base.ly,"+218"
base.ma,"+212"
base.mc,"+377"
base.md,"+373"
base.mg,"+261"
base.mh,"+692"
base.mk,"+389"
base.ml,"+223"
base.mm,"+95"
base.mn,"+976"
base.mo,"+853"
base.mp,"+1"
base.mq,"+33"
base.mr,"+222"
base.ms,"+1664"
base.mt,"+356"
base.mu,"+230"
base.mv,"+960"
base.mw,"+265"
base.mx,"+52"
base.my,"+60"
base.mz,"+258"
base.na,"+264"
base.nc,"+687"
base.ne,"+227"
base.nf,"+672"
base.ng,"+234"
base.ni,"+505"
base.nl,"+31"
base.no,"+47"
base.np,"+977"
base.nr,"+674"
base.nt,""
base.nu,"+683"
base.nz,"+64"
base.om,"+968"
base.pa,"+507"
base.pe,"+51"
base.pf,"+689"
base.pg,"+675"
base.ph,"+63"
base.pk,"+92"
base.pl,"+48"
base.pm,"+508"
base.pn,"+649"
base.pr,"+1"
base.pt,"+351"
base.pw,"+680"
base.py,"+595"
base.qa,"+974"
base.re,"+33"
base.ro,"+40"
base.ru,"+7"
base.rw,"+250"
base.sa,"+966"
base.sb,"+677"
base.sc,"+248"
base.sd,"+249"
base.se,"+46"
base.sg,"+65"
base.sh,"+290"
base.si,"+386"
base.sj,"+47"
base.sk,"+421"
base.sl,"+232"
base.sm,"+1721"
base.sn,"+221"
base.so,"+252"
base.sr,"+597"
base.st,"+239"
base.sv,"+503"
base.sy,"+963"
base.sz,"+268"
base.tc,"+1"
base.td,"+235"
base.tf,"+33"
base.tg,"+228"
base.th,"+66"
base.tj,"+992"
base.tk,"+690"
base.tm,"+993"
base.tn,"+216"
base.to,"+676"
base.tp,"+670"
base.tr,"+90"
base.tt,"+1868"
base.tv,"+688"
base.tw,"+886"
base.tz,"+255"
base.ua,"+380"
base.ug,"+256"
base.uk,"+44"
base.um,"+1"
base.us,"+1"
base.uy,"+598"
base.uz,"+999"
base.va,"+379"
base.vc,"+1784"
base.ve,"+58"
base.vg,"+1284"
base.vi,"+1340"
base.vn,"+84"
base.vu,"+678"
base.wf,"+681"
base.ws,"+685"
base.ye,"+967"
base.yt,"+262"
base.yu,""
base.za,"+27"
base.zm,"+260"
base.zr,""
base.zw,"+263"
base.ax,"+358"
base.bl,"+590"
base.bq,"+599"
base.cw,"+599"
base.gg,"+44"
base.im,"+44"
base.je,"+44"
base.mf,"+590"
base.ps,"+970"
base.ss,"+211"
base.sx,"+1"
