id,previous_contract_id/id,month_review_salary,previous_wage,salary_review_ok,type_id/id,position_id/id,bonus_type,can_uid_cancel_salary_export,job_description,previous_variable_wage,salary_review_type,wage,employee_id/id,user_id/id,previous_incentive_ok,state,other_bonus,annual_package,experience_id/id,guaranteed_share,submission_date,start_date,previous_annual_package,recorded_in_pay_date,variable_wage,stop_date,previous_other_bonus,can_cancel,contract_end_id/id,incentive_ok,in_progress,stop_date_required,can_modify_salary_ok,attendance_rate,previous_guaranteed_share,validation_date,signature_date,recorded_in_pay_period_id/id,previous_bonus_type
ID,Previous contract,Next salary review,Previous Wage,Is a salary review,Type contract,Position syntec,Bonus type,Allowed to cancel the salary review export,Fonction,Previous variable wage,Salary review type,Wage,Employee,User,Previous Incentive,State,Other bonus,Annual package,Experience,Guaranteed share (%),Submission date,Start date,Previous annual package,Record date in pay,Variable wage,End date,Previous fixed bonus,Contrat can be canceled,End Reason,Incentive,In progress,Stop date required,Can modify salary,Attendance rate (%),Previous guaranteed share (%),Validation date,Signature date,Record period in pay,Previous Bonus type
Defines the key: String with alphanumeric char + '_'. One occurence of '.' is authoriorised,"Many2one field type: Autorised value: 'module_name.key' defined on the file hr.contract.csv

                                As exemple import_data.product1 The field is not required",Date field type: Autorised value: AAAA-MM-DD as exemple: 2012-05-28 The field is required,Float field type: Autorised value: XXXXX.DD as exemple: 125.01 Please note that the digit separator is '.' The field is not required,"Boolean field: Autorised value: ""True"" or ""False"".  The field is not required","Many2one field type: Autorised value: 'module_name.key' defined on the file hr.contract.type.csv

                                As exemple import_data.product1 The field is required","Many2one field type: Autorised value: 'module_name.key' defined on the file hr.contract.position.csv

                                As exemple import_data.product1 The field is required","Selection field type: Autorised value: ['variable', 'variable_other', 'other', 'no_bonus', 'fixed_value'] 
Value corresponding: 
{'variable': 'Variable', 'variable_other': 'Variable + Other bonus', 'other': 'Other bonus', 'no_bonus': 'No bonus', 'fixed_value': 'Fixed value (13th month/Convergence)'} The field is required","Boolean field: Autorised value: ""True"" or ""False"".  The field is not required",Char field type: Autorised value: a string with 128 as max size The field is required,Float field type: Autorised value: XXXXX.DD as exemple: 125.01 Please note that the digit separator is '.' The field is not required,"Selection field type: Autorised value: ['occasional', 'annual'] 
Value corresponding: 
{'occasional': 'Occasional', 'annual': 'Annual'} The field is not required",Float field type: Autorised value: XXXXX.DD as exemple: 125.01 Please note that the digit separator is '.' The field is required,"Many2one field type: Autorised value: 'module_name.key' defined on the file hr.employee.csv

                                As exemple import_data.product1 The field is required","Many2one field type: Autorised value: 'module_name.key' defined on the file res.users.csv

                                As exemple import_data.product1 The field is not required","Boolean field: Autorised value: ""True"" or ""False"".  The field is not required","Selection field type: Autorised value: ['canceled', 'validated', 'draft', 'submitted', 'terminated'] 
Value corresponding: 
{'canceled': 'Canceled', 'validated': 'Validated', 'draft': 'Draft', 'submitted': 'Submitted', 'terminated': 'Terminated'} The field is required",Float field type: Autorised value: XXXXX.DD as exemple: 125.01 Please note that the digit separator is '.' The field is not required,Float field type: Autorised value: XXXXX.DD as exemple: 125.01 Please note that the digit separator is '.' The field is not required,"Many2one field type: Autorised value: 'module_name.key' defined on the file hr.employee.experience.csv

                                As exemple import_data.product1 The field is not required",Float field type: Autorised value: XXXXX.DD as exemple: 125.01 Please note that the digit separator is '.' The field is not required,Date field type: Autorised value: AAAA-MM-DD as exemple: 2012-05-28 The field is not required,Date field type: Autorised value: AAAA-MM-DD as exemple: 2012-05-28 The field is required,Float field type: Autorised value: XXXXX.DD as exemple: 125.01 Please note that the digit separator is '.' The field is not required,Date field type: Autorised value: AAAA-MM-DD as exemple: 2012-05-28 The field is not required,Float field type: Autorised value: XXXXX.DD as exemple: 125.01 Please note that the digit separator is '.' The field is not required,Date field type: Autorised value: AAAA-MM-DD as exemple: 2012-05-28 The field is not required,Float field type: Autorised value: XXXXX.DD as exemple: 125.01 Please note that the digit separator is '.' The field is not required,"Boolean field: Autorised value: ""True"" or ""False"".  The field is not required","Many2one field type: Autorised value: 'module_name.key' defined on the file hr.contract.end.csv

                                As exemple import_data.product1 The field is not required","Boolean field: Autorised value: ""True"" or ""False"".  The field is not required","Boolean field: Autorised value: ""True"" or ""False"".  The field is not required","Boolean field: Autorised value: ""True"" or ""False"".  The field is not required","Boolean field: Autorised value: ""True"" or ""False"".  The field is not required",Float field type: Autorised value: XXXXX.DD as exemple: 125.01 Please note that the digit separator is '.' The field is required,Float field type: Autorised value: XXXXX.DD as exemple: 125.01 Please note that the digit separator is '.' The field is not required,Date field type: Autorised value: AAAA-MM-DD as exemple: 2012-05-28 The field is not required,Date field type: Autorised value: AAAA-MM-DD as exemple: 2012-05-28 The field is required,"Many2one field type: Autorised value: 'module_name.key' defined on the file account.analytic.period.csv

                                As exemple import_data.product1 The field is not required","Selection field type: Autorised value: ['variable', 'variable_other', 'other', 'no_bonus', 'fixed_value'] 
Value corresponding: 
{'variable': 'Variable', 'variable_other': 'Variable + Other bonus', 'other': 'Other bonus', 'no_bonus': 'No bonus', 'fixed_value': 'Fixed value (13th month/Convergence)'} The field is not required"
